Họ tên,Chức vị,Chuyên khoa,Bệnh viện,Link Profile
Nguyễn Tấn Cường,"Phó giáo sư, Tiến sĩ , Bác sĩ",Gan - Mật - Tụy,Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-tan-cuong-51481-vi
Chu Quốc Trường,"Phó giáo sư, Tiến sĩ , Bác sĩ",Y học cổ truyền,Trung tâm Y Học Cổ Truyền Vinmec - Sao Phương Đông,/vie/chuyen-gia-y-te/chu-quoc-truong-4340-vi
Nguyễn Tiến Quyết,"Phó giáo sư, Tiến sĩ , Bác sĩ",Gan - Mật - Tụy,Khoa Ngoại Tiêu hóa - Gan mật - Tiết niệu - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-tien-quyet-51489-vi
Nguyễn Thị Nữ,"Phó giáo sư, Tiến sĩ , Bác sĩ",Xét nghiệm,Bệnh viện Đa khoa Vinmec Phú Quốc,/vie/chuyen-gia-y-te/nguyen-thi-nu-1
Lê Quang Vinh,"Phó giáo sư, Tiến sĩ Bác sĩ chuyên khoa II",Giải phẫu bệnh,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/le-quang-vinh
Ninh Thị Ứng,"Phó giáo sư, Tiến sĩ , Bác sĩ",Nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/ninh-thi-ung-50919-vi
Hồ Thượng Dũng,"Phó giáo sư, Thầy thuốc ưu tú, Tiến sĩ , Bác sĩ",Phẫu thuật Tim Mạch - Lồng Ngực,Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/ho-thuong-dung
Nguyễn Thị Ngọc Lan,"Phó giáo sư, Tiến sĩ , Bác sĩ",Cơ xương khớp,Khoa Nội tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thi-ngoc-lan-50885-vi
Bùi Văn Giang,"Phó giáo sư, Tiến sĩ , Bác sĩ",Chẩn đoán hình ảnh,Khoa Chẩn đoán hình ảnh - Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/bui-van-giang-51648-vi
Nguyễn Ngọc Quang,"Phó giáo sư, Tiến sĩ , Bác sĩ",Tim mạch,Hệ thống Y tế Vinmec,/vie/chuyen-gia-y-te/nguyen-ngoc-quang-1
Mikael Hartman,"Phó giáo sư, Tiến sĩ","Bệnh lý huyết học, ung thư huyết học - Bệnh hiếm",Bệnh lý Vú - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/mikael-hartman
Trần Thị Thanh Hương,"Phó giáo sư, Tiến sĩ , Bác sĩ",Di truyền y học,Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/tran-thi-thanh-huong-51849-vi
Lê Trần Ngoan,"Phó giáo sư, Tiến sĩ",Nghiên cứu khoa học,Hệ thống Y tế Vinmec,/vie/chuyen-gia-y-te/le-tran-ngoan
Nguyễn Văn Phan,"Thầy thuốc ưu tú, Phó giáo sư, Tiến sĩ , Bác sĩ",Ngoại Tim mạch,Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-van-phan-51597-vi
Lê Trần Ngoan,"Phó giáo sư, Tiến sĩ",Nghiên cứu khoa học,Hệ thống Y tế Vinmec,/vie/chuyen-gia-y-te/le-tran-ngoan
Nguyễn Văn Phan,"Thầy thuốc ưu tú, Phó giáo sư, Tiến sĩ , Bác sĩ",Ngoại Tim mạch,Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-van-phan-51597-vi
Phạm Văn Năng,"Phó giáo sư, Tiến sĩ , Bác sĩ",N/A,Bệnh viện Đa khoa Vinmec Cần Thơ,/vie/chuyen-gia-y-te/pham-van-nang
Huỳnh Thoại Loan,"Phó giáo sư, Tiến sĩ , Bác sĩ",Nhi,"Khoa Nhi - Sơ sinh, Bệnh viện Đa khoa Quốc tế Vinmec Central Park",/vie/chuyen-gia-y-te/huynh-thoai-loan-51048-vi
Nguyễn Viết Nhân,"Phó giáo sư, Tiến sĩ , Bác sĩ",Di truyền y học,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-viet-nhan-51242-vi
Trần Ngọc Sơn,"Phó giáo sư, Tiến sĩ , Bác sĩ",Nhi,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/tran-ngoc-son
Trần Văn Công,"Tiến sĩ , Bác sĩ",Phẫu thuật U xương và phần mềm,Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/tran-van-cong-51520-vi
Đoàn Đức Dũng,Tiến sĩ Bác sĩ nội trú,Tim mạch,Trung Tâm Tim Mạch - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/doan-duc-dung-51741-vi
Trương Đình Khôi,"Tiến sĩ , Bác sĩ",Tiêu hóa,Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/truong-dinh-khoi
Nguyễn Hữu Mạnh,"Tiến sĩ , Bác sĩ",Ngoại chấn thương chỉnh hình,Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/nguyen-huu-manh-51516-vi
Trần Thị Phương Thúy,"Tiến sĩ , Bác sĩ",Gan - Mật - Tụy,Khoa Nội tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/tran-thi-phuong-thuy-4282-vi
Nguyễn Hồng Sơn,"Tiến sĩ , Bác sĩ",Tim mạch,Khoa Khám bệnh - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-hong-son-51468-vi
Bùi Chí Nam,"Tiến sĩ , Bác sĩ",Nội Tiêu hoá - Nội soi,Khoa Nội Tiêu hóa - Gan mật - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/bui-chi-nam-2955-vi
Tô Minh Hương,"Tiến sĩ , Bác sĩ",Hỗ trợ sinh sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/to-minh-huong-893-vi
Trần Hoàng Ngọc Anh,"Tiến sĩ , Bác sĩ",Thần kinh,Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/tran-hoang-ngoc-anh-51442-vi
Trương Ngọc Hải,"Tiến sĩ , Bác sĩ",Nội tổng quát,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/truong-ngoc-hai-51909-vi
Phạm Thị Việt Hương,"Tiến sĩ , Bác sĩ",Ung bướu - Xạ trị,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/pham-thi-viet-huong-51388-vi
Lê Thị Hường,"Tiến sĩ , Bác sĩ",Khám sức khỏe tổng quát,Khoa Khám bệnh - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/le-thi-huong-51335-vi
Đào Đức Dũng,"Tiến sĩ Thạc sĩ , Bác sĩ",Gan - Mật - Tụy,Khoa Ngoại Tiêu hóa - Gan mật - Tiết niệu - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/dao-duc-dung-50810-vi
Phùng Tuyết Lan,"Tiến sĩ , Bác sĩ",Nội nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/phung-tuyet-lan-50910-vi
Tôn Thất Trí Dũng,"Tiến sĩ , Bác sĩ",Nội Thần kinh,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/ton-that-tri-dung-51277-vi
