Họ tên,Chức vị,Chuyên khoa,Bệnh viện,Link Profile
Tiên Hạnh Nhi,Bác sĩ chuyên khoa I,Nhi,Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/tien-hanh-nhi-51917-vi
Nguyễn Thị Thu Trang,Bác sĩ chuyên khoa I,Ung bướu - Xạ trị,Bệnh lý Vú - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thi-thu-trang-1
Nguyễn Phi,Bác sĩ chuyên khoa I,Ngoại Thần kinh,Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-phi
Phan Lệ Kim Chi,Bác sĩ chuyên khoa I,Cơ xương khớp,"Khoa Khám bệnh & Nội khoa, Bệnh viện Đa khoa Vinmec Hải Phòng",/vie/chuyen-gia-y-te/phan-le-kim-chi
Vương Ngọc Linh,Bác sĩ chuyên khoa I,N/A,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Phú Quốc,/vie/chuyen-gia-y-te/vuong-ngoc-linh-51697-vi
Néang Chanh Ly,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Phú Quốc,/vie/chuyen-gia-y-te/neang-chanh-ly-51573-vi
Lê Ngọc Mây,"Bác sĩ nội trú , Bác sĩ",Ung bướu - Xạ trị,Trung tâm Ung bướu Vinmec - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/le-ngoc-may-51521-vi
Trần Đức Thanh,"Thạc sĩ Bác sĩ nội trú , Bác sĩ",Phẫu thuật U xương và phần mềm,Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/tran-duc-thanh-51512-vi
Lê Thị Hoa,Thạc sĩ Bác sĩ nội trú,Tim mạch,Trung Tâm Tim Mạch - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/le-thi-hoa-51811-vi
Đặng Thị Linh,Thạc sĩ Bác sĩ nội trú,Tim mạch,Trung Tâm Tim Mạch - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/dang-thi-linh-51740-vi
Nguyễn Quỳnh Hoa,Thạc sĩ Bác sĩ nội trú,Tim mạch,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/nguyen-quynh-hoa-51739-vi
Nguyễn Lê Duy,Thạc sĩ Bác sĩ nội trú,N/A,Trung tâm Tiêu hóa - Gan mật - Tiết niệu - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-le-duy-51692-vi
Đỗ Hoàng Hà,Thạc sĩ Bác sĩ nội trú,Nhi,Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/do-hoang-ha-51920-vi
Đinh Thanh Hà,"Thạc sĩ Bác sĩ nội trú , Bác sĩ",Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/dinh-thanh-ha-51440-vi
Nguyễn Thị Nga,Bác sĩ nội trú,"Bệnh lý huyết học, ung thư huyết học - Bệnh hiếm",Khoa Nội Ung bướu - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thi-nga-1
Nguyễn Thị Thùy Dương,Thạc sĩ Bác sĩ nội trú,Huyết học,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/nguyen-thi-thuy-duong-51666-vi
Đoàn Văn Nam,Thạc sĩ Bác sĩ nội trú,Khoa Phụ,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/doan-van-nam-51708-vi
Nguyễn Thị Nét,"Thạc sĩ Bác sĩ nội trú , Bác sĩ",N/A,Khoa Nội tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thi-net-51710-vi
Nguyễn Đình Duy,Thạc sĩ Bác sĩ nội trú,Huyết học,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/nguyen-dinh-duy-51607-vi
Nguyễn Đình Duy,Thạc sĩ Bác sĩ nội trú,Huyết học,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/nguyen-dinh-duy-51607-vi
Phạm Thị Kim Yến,"Thạc sĩ Bác sĩ nội trú , Bác sĩ",Hỗ trợ sinh sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/pham-thi-kim-yen-vi
Quách Thanh Dung,"Thạc sĩ , Bác sĩ",Ung bướu - Xạ trị,Khoa Nội Ung bướu - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/quach-thanh-dung-50972-vi
Nguyễn Văn Tài,"Thạc sĩ , Bác sĩ",Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/nguyen-van-tai-51834-vi
Lê Thị Diệu Hằng,"Thạc sĩ , Bác sĩ",Sản phụ khoa,Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/le-thi-dieu-hang
Nguyễn Phương Thảo,"Thạc sĩ , Bác sĩ",Tim mạch,Khoa khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/nguyen-phuong-thao-51485-vi
Phạm Vũ Hiệp,"Thạc sĩ , Bác sĩ",Nội tiết,Bệnh lý Tuyến giáp - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/pham-vu-hiep-51736-vi
Trần Tuyết Thanh Hải,"Thạc sĩ , Bác sĩ",Phẫu thuật U xương và phần mềm,Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/tran-tuyet-thanh-hai-51676-vi
Đinh Thị Hiền Lê,"Thạc sĩ , Bác sĩ",Khoa Y học bào thai,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/dinh-thi-hien-le
Vũ Bích Phương,"Thạc sĩ , Bác sĩ",Hỗ trợ sinh sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/vu-bich-phuong-51622-vi
Lê Thị Minh Hương,"Thạc sĩ , Bác sĩ",Hồi sức - Cấp cứu,Khoa Cấp cứu - Vận chuyển Quốc tế - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/le-thi-minh-huong-51284-vi
Nguyễn Trung Thành,Bác sĩ chuyên khoa II,Gây mê - điều trị đau,Khoa Gây mê Phẫu thuật - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-trung-thanh-7432-vi
Lê Hữu Đồng,"Bác sĩ chuyên khoa II , Bác sĩ",Nội Tim mạch,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/le-huu-dong-24449-vi
Lương Văn Đến,Bác sĩ chuyên khoa II,Nội tổng quát,Bệnh viện Đa khoa Vinmec Cần Thơ,/vie/chuyen-gia-y-te/luong-van-den
Tạ Quốc Bản,Thạc sĩ Bác sĩ chuyên khoa II,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/ta-quoc-ban-50988-vi
Vũ Tú Nam,Bác sĩ chuyên khoa II,Ngoại chấn thương chỉnh hình,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/vu-tu-nam-51518-vi
Nguyễn Thị Hương Xuân,Bác sĩ chuyên khoa II Bác sĩ nội trú,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-thi-huong-xuan-51757-vi
Nguyễn Đình Tời,"Bác sĩ chuyên khoa II , Bác sĩ",Khoa Sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-dinh-toi-894-vi
Bùi Thanh Quang,Bác sĩ chuyên khoa II,Tim mạch,Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/bui-thanh-quang-51751-vi
Trần Thị Linh Chi,Bác sĩ chuyên khoa II,Nhi,Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/tran-thi-linh-chi-50900-vi
Đồng Xuân Hà,Bác sĩ chuyên khoa II,Nội Tiêu hoá - Nội soi,Khoa khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/dong-xuan-ha-50894-vi
Phạm Việt Hùng,"Thầy thuốc ưu tú, Thạc sĩ Bác sĩ chuyên khoa II",Ngoại Tiêu hoá,Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/pham-viet-hung
Nguyễn Văn Nghĩa,Bác sĩ chuyên khoa II,Ngoại Tiêu hoá,Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-van-nghia-51461-vi
Đặng Thị Thùy Trang,Thạc sĩ Bác sĩ chuyên khoa II,Tai - Mũi - Họng,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/dang-thi-thuy-trang-51428-vi
Bùi Thanh Quang,Bác sĩ chuyên khoa II,Tim mạch,Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/bui-thanh-quang-51751-vi
Trần Thị Linh Chi,Bác sĩ chuyên khoa II,Nhi,Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/tran-thi-linh-chi-50900-vi
Đồng Xuân Hà,Bác sĩ chuyên khoa II,Nội Tiêu hoá - Nội soi,Khoa khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/dong-xuan-ha-50894-vi
Phạm Việt Hùng,"Thầy thuốc ưu tú, Thạc sĩ Bác sĩ chuyên khoa II",Ngoại Tiêu hoá,Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/pham-viet-hung
Nguyễn Văn Nghĩa,Bác sĩ chuyên khoa II,Ngoại Tiêu hoá,Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-van-nghia-51461-vi
Nguyễn Thị Thúy An,Thạc sĩ Bác sĩ chuyên khoa II,Tai - Mũi - Họng,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-thi-thuy-an-51429-vi
Đặng Thị Thùy Trang,Thạc sĩ Bác sĩ chuyên khoa II,Tai - Mũi - Họng,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/dang-thi-thuy-trang-51428-vi
Lê Thu Phương,Bác sĩ chuyên khoa II,Nhi,Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/le-thu-phuong-50880-vi
Nguyễn Văn Hùng,"Bác sĩ chuyên khoa II , Bác sĩ",Hồi sức - Cấp cứu,Khoa Cấp cứu - Vận chuyển Quốc tế - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/nguyen-van-hung-51403-vi
Phan Ngọc Toán,Bác sĩ chuyên khoa II,Hồi sức - Cấp cứu,Khoa Hồi sức Cấp cứu - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/phan-ngoc-toan-51093-vi
Dương Thị Kim Loan,Bác sĩ chuyên khoa II,Dinh Dưỡng,Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/duong-thi-kim-loan-51913-vi
Nguyễn Văn Thái,Bác sĩ chuyên khoa II,Tai - Mũi - Họng,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/nguyen-van-thai-51083-vi
Phạm Thị Tuyết Mai,Bác sĩ chuyên khoa II,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/pham-thi-tuyet-mai-50846-vi
Trần Thị Mai Hương,Bác sĩ chuyên khoa II,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/tran-thi-mai-huong-50845-vi
Võ Lâm Khả Thứ,Bác sĩ chuyên khoa II,N/A,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/vo-lam-kha-thu-51884-vi
Bùi Thị Thu,Bác sĩ chuyên khoa II,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/bui-thi-thu-50850-vi
Nguyễn Thái Hưng,Bác sĩ chuyên khoa II,Mắt,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/nguyen-thai-hung-51088-vi
Doãn Thanh Tuấn,Thạc sĩ Bác sĩ chuyên khoa II,Sản phụ khoa,Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/doan-thanh-tuan
Nguyễn Thị Minh Tuyết,Bác sĩ chuyên khoa II,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-thi-minh-tuyet-50833-vi
Nguyễn Thị Ngọc,Thạc sĩ Bác sĩ chuyên khoa II,Nội tiết,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-thi-ngoc-51360-vi
Nguyễn Thị Kim Dung,"Bác sĩ chuyên khoa II , Bác sĩ",Khoa Sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thi-kim-dung-50817-vi
Nguyễn Thị Hương Linh,"Thạc sĩ Bác sĩ chuyên khoa II , Bác sĩ",Khoa Sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thi-huong-linh-50815-vi
Phùng Thị Lý,"Thạc sĩ Bác sĩ chuyên khoa II , Bác sĩ",Khoa Sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/phung-thi-ly-50821-vi
Vũ Duy Thái,"Thạc sĩ Bác sĩ chuyên khoa II , Bác sĩ",Khoa Phụ,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/vu-duy-thai-50822-vi
Lê Viết Cường,Bác sĩ chuyên khoa I,Hồi sức - Cấp cứu,Khoa Cấp cứu - Vận chuyển Quốc tế - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/le-viet-cuong-50985-vi
Trần Quốc Vĩnh,"Bác sĩ chuyên khoa I , Bác sĩ",Hồi sức - Cấp cứu,Khoa Cấp cứu - Vận chuyển Quốc tế - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/tran-quoc-vinh-50986-vi
Phùng Thị Kim Hiệp,Bác sĩ chuyên khoa I,Khám sức khỏe tổng quát,Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/phung-thi-kim-hiep
Triệu Thị Hồng Thái,Bác sĩ chuyên khoa I,Sơ sinh,Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/trieu-thi-hong-thai-50964-vi
Nguyễn Công Hòa,Bác sĩ chuyên khoa I,Hồi sức - Cấp cứu,Trung tâm hồi sức và cấp cứu - Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/nguyen-cong-hoa-4440-vi
Hoàng Quỳnh Lan,Bác sĩ chuyên khoa I,Sơ sinh,Khoa Sơ sinh - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/hoang-quynh-lan-50963-vi
Nguyễn Thị Hằng,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/nguyen-thi-hang-51829-vi
Đặng Minh Quang,"Thạc sĩ Bác sĩ chuyên khoa I , Bác sĩ",Phẫu thuật U xương và phần mềm,Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/dang-minh-quang-51511-vi
Nguyễn Mạnh Linh,Bác sĩ chuyên khoa I,Hồi sức - Cấp cứu,Khoa Hồi sức cấp cứu - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/nguyen-manh-linh-51832-vi
Huỳnh Thanh Tân,"Thạc sĩ Bác sĩ chuyên khoa I , Bác sĩ",Tâm thần,Trung tâm Chăm sóc Sức khỏe Tinh Thần,/vie/chuyen-gia-y-te/huynh-thanh-tan-51812-vi
Nguyễn Thị Thùy Linh,"Bác sĩ chuyên khoa I , Bác sĩ",Tiêu hóa - Gan mật nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thi-thuy-linh-50925-vi
Cao Thị Giang,"Bác sĩ chuyên khoa I , Bác sĩ",Nội nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/cao-thi-giang-50913-vi
Nguyễn Trung Nghĩa,Thạc sĩ Bác sĩ chuyên khoa I Bác sĩ nội trú,Tâm thần,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-trung-nghia-51753-vi
Võ Khắc Khôi Nguyên,Bác sĩ chuyên khoa I,Ngoại chấn thương chỉnh hình,Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/vo-khac-khoi-nguyen-51143-vi
Lã Thị Tiềm,"Bác sĩ chuyên khoa I , Bác sĩ",Khoa Vú,Bệnh lý Vú - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/la-thi-tiem-51477-vi
Lê Khắc Hiệu,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/le-khac-hieu-51444-vi
Lã Thị Tiềm,"Bác sĩ chuyên khoa I , Bác sĩ",Khoa Vú,Bệnh lý Vú - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/la-thi-tiem-51477-vi
Lê Khắc Hiệu,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/le-khac-hieu-51444-vi
Nguyễn Sỹ Quảng,Bác sĩ nội trú Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nguyen-sy-quang-51427-vi
Lê Thanh An,"Bác sĩ chuyên khoa I , Bác sĩ",Nội Tim mạch,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/le-thanh-an-51436-vi
Nguyễn Anh Tuân,"Bác sĩ chuyên khoa I , Bác sĩ",Ngoại Tiêu hoá,Khoa Ngoại tổng hợp - Liên chuyên khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/nguyen-anh-tuan-51918-vi
Trần Minh Tuấn,Bác sĩ chuyên khoa I Bác sĩ nội trú,Tai - Mũi - Họng,Khoa Ngoại tổng hợp - Liên chuyên khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/tran-minh-tuan
Nguyễn Thị Thanh Bình,Thạc sĩ Bác sĩ chuyên khoa I,Phục hồi chức năng,Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/nguyen-thi-thanh-binh-50882-vi
Hoàng Thị Thanh Hoa,Bác sĩ chuyên khoa I,Truyền nhiễm,Khoa khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/hoang-thi-thanh-hoa-51663-vi
Lê Thanh An,"Bác sĩ chuyên khoa I , Bác sĩ",Nội Tim mạch,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/le-thanh-an-51436-vi
Nguyễn Anh Tuân,"Bác sĩ chuyên khoa I , Bác sĩ",Ngoại Tiêu hoá,Khoa Ngoại tổng hợp - Liên chuyên khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/nguyen-anh-tuan-51918-vi
Trần Minh Tuấn,Bác sĩ chuyên khoa I Bác sĩ nội trú,Tai - Mũi - Họng,Khoa Ngoại tổng hợp - Liên chuyên khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/tran-minh-tuan
Nguyễn Thị Thanh Bình,Thạc sĩ Bác sĩ chuyên khoa I,Phục hồi chức năng,Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/nguyen-thi-thanh-binh-50882-vi
Hoàng Thị Thanh Hoa,Bác sĩ chuyên khoa I,Truyền nhiễm,Khoa khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/hoang-thi-thanh-hoa-51663-vi
Trần Thị Thu Hà,"Bác sĩ chuyên khoa I , Bác sĩ",Khoa Sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/tran-thi-thu-ha-50861-vi
Lê Nguyễn Hồng Trâm,"Bác sĩ chuyên khoa I , Bác sĩ",Tiêu hóa,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/le-nguyen-hong-tram-51404-vi
Đặng Thị Ngoan,Bác sĩ nội trú Bác sĩ chuyên khoa I,Nhi,Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/dang-thi-ngoan-50869-vi
Nông Ngọc Sơn,Thạc sĩ Bác sĩ chuyên khoa I,Ung bướu - Xạ trị,Trung tâm Ung bướu - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/nong-ngoc-son-50877-vi
Huỳnh Kim Long,Bác sĩ chuyên khoa I,Hồi sức - Cấp cứu,Khoa Hồi sức Cấp cứu - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/huynh-kim-long-51097-vi
Nguyễn Tuấn Lâm,Bác sĩ chuyên khoa I,Tai - Mũi - Họng,"Khoa Khám bệnh & Nội khoa, Bệnh viện Đa khoa Vinmec Hải Phòng",/vie/chuyen-gia-y-te/nguyen-tuan-lam-51385-vi
Phạm Thị Yến,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/pham-thi-yen-50844-vi
Nguyễn Khánh Vân,Bác sĩ chuyên khoa I,Tiêm chủng vắc xin,"Khoa Nhi - Sơ sinh, Bệnh viện Đa khoa Quốc tế Vinmec Central Park",/vie/chuyen-gia-y-te/nguyen-khanh-van-51639-vi
Đỗ Thiên Ân,Bác sĩ nội trú Bác sĩ chuyên khoa I,Cơ xương khớp,Đơn vị Miễn dịch dị ứng - Hô hấp  - Khoa khám bệnh và Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/do-thien-an-51883-vi
Lê Thị Phương,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/le-thi-phuong-50848-vi
Trương Nghĩa Bình,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/truong-nghia-binh-50834-vi
Lê Thanh Dựng,Bác sĩ chuyên khoa I,N/A,Khoa Hồi sức cấp cứu - Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/le-thanh-dung-51704-vi
Nguyễn Thị Mận,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/nguyen-thi-man-50835-vi
Bùi Đức Hoàn,"Bác sĩ chuyên khoa I , Bác sĩ",Khoa Sản,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Nha Trang,/vie/chuyen-gia-y-te/bui-duc-hoan-51612-vi
Nguyễn Thị Chung,Bác sĩ chuyên khoa I,Hồi sức - Cấp cứu,Khoa Hồi sức cấp cứu - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/nguyen-thi-chung-51711-vi
Hồ Huỳnh Nhung,Thạc sĩ Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/ho-huynh-nhung-51723-vi
Võ Thị Thùy Trang,Bác sĩ chuyên khoa I,Nội Tiêu hoá - Nội soi,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/vo-thi-thuy-trang-51353-vi
Huỳnh Công Tấn,Bác sĩ chuyên khoa I,Sản phụ khoa,Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng,/vie/chuyen-gia-y-te/huynh-cong-tan-50838-vi
Nguyễn Thị Tuyên,Bác sĩ chuyên khoa I Bác sĩ nội trú,Nhi,Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/nguyen-thi-tuyen-51806-vi
Đặng Tiến Lâm,Bác sĩ chuyên khoa I,Tai - Mũi - Họng,Bệnh viện Đa khoa Vinmec Hạ Long,/vie/chuyen-gia-y-te/dang-tien-lam-51730-vi
